insee_com,Année,nb_deces
01336,2021,9
01336,2022,5
01336,2023,7
01337,2018,9
01337,2019,12
01337,2020,11
01337,2021,12
01337,2022,11
01337,2023,12
01338,2018,9
01338,2019,10
01338,2020,7
01338,2021,5
01338,2022,14
01338,2023,8
01339,2018,41
01339,2019,34
01339,2020,41
01339,2021,29
01339,2022,33
01339,2023,26
01341,2018,2
01342,2018,2
01342,2019,1
01342,2020,2
01342,2021,2
01342,2022,3
01342,2023,2
01343,2018,12
01343,2019,8
01343,2020,14
01343,2021,13
01343,2022,10
01343,2023,11
01344,2018,38
01344,2019,43
01344,2020,53
01344,2021,48
01344,2022,53
01344,2023,47
01345,2018,14
01345,2019,14
01345,2020,18
01345,2021,21
01345,2022,22
01345,2023,13
01346,2018,1
01346,2019,4
01346,2020,6
01346,2021,5
01346,2022,7
01346,2023,8
01347,2018,8
01347,2019,7
01347,2020,9
01347,2021,13
01347,2022,8
01347,2023,6
01348,2018,19
01348,2019,26
01348,2020,21
01348,2021,20
01348,2022,21
01348,2023,21
01349,2018,3
01349,2019,3
01349,2021,2
01349,2022,7
01349,2023,5
01350,2018,11
01350,2019,15
01350,2020,26
01350,2021,18
01350,2022,18
01350,2023,19
01351,2018,11
01351,2019,12
01351,2020,9
01351,2021,8
01351,2022,12
01351,2023,9
01352,2018,8
01352,2019,2
01352,2020,5
01352,2021,2
01352,2022,7
01352,2023,6
01353,2018,2
01353,2019,7
01353,2020,1
01353,2021,5
01353,2022,9
01353,2023,3
01354,2018,19
01354,2019,33
01354,2020,26
01354,2021,32
01354,2022,45
01354,2023,34
01355,2018,6
01355,2019,1
01355,2020,3
01355,2021,2
01355,2022,3
01355,2023,1
01356,2018,4
01356,2020,1
01356,2022,2
01356,2023,1
01357,2018,3
01357,2019,3
01357,2020,2
01357,2021,1
01357,2022,2
01357,2023,5
01358,2018,3
